name,owner,stars,language,pr_number,pr_title,pr_state,pr_author,pr_created_at,pr_closed_at,pr_merged_at,pr_is_merged,pr_base_branch,pr_head_branch,pr_additions,pr_deletions,pr_changed_files,pr_total_changes,pr_comments_count,pr_reviews_count,pr_review_requests_count,pr_commits_count,pr_participants_count,pr_assignees_count,pr_labels,pr_labels_count,pr_review_decision,pr_is_draft,pr_lifetime_hours,pr_time_to_merge_hours,has_code_review
awesome,sindresorhus,403538,Unknown,2850,Add Annual Security Reports,MERGED,jacobdjwilson,2023-11-07T16:48:23Z,2024-11-22T09:22:46Z,2024-11-22T09:22:46Z,True,main,patch-2,1,0,1,1,21,12,0,11,7,0,,0,,False,9136.573055555555,9136.573055555555,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62248,fix(curriculum): add more tests for the golf translator lab,MERGED,StuartMosquera,2025-09-17T17:29:40Z,2025-09-22T15:14:28Z,2025-09-22T15:14:28Z,True,main,add-tests-for-golf-translator-lab,66,8,1,74,1,11,0,3,3,0,status: waiting review|scope: curriculum|full stack cert,3,APPROVED,False,117.74666666666667,117.74666666666667,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62173,feat(curriculum): add wherefore art thou challenge lab,MERGED,larymak,2025-09-12T06:44:06Z,2025-09-22T05:39:59Z,2025-09-22T05:39:59Z,True,main,feat-add-wherefore-art-thou-challenge,170,21,5,191,1,11,0,7,5,0,status: waiting review|scope: curriculum|platform: learn|scope: i18n|full stack cert,5,APPROVED,False,238.93138888888888,238.93138888888888,True
awesome,sindresorhus,403538,Unknown,3282,Add PostgreSQL hacking,CLOSED,zhjwpku,2024-11-23T15:16:45Z,2025-01-25T09:09:05Z,,False,main,patch-1,1,0,1,1,10,10,0,1,6,0,,0,,False,1505.8722222222223,,True
awesome,sindresorhus,403538,Unknown,3227,Add Windows,MERGED,0PandaDEV,2024-09-30T13:00:12Z,2024-11-23T14:44:06Z,2024-11-23T14:44:06Z,True,main,patch-1,1,1,1,2,15,10,1,11,7,0,,0,,False,1297.7316666666666,1297.7316666666666,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62230,chore(curriculum): Update javascript trivia bot test to accept concat method,CLOSED,Giftea,2025-09-15T18:16:29Z,2025-09-22T15:19:33Z,,False,main,fix-javascript-trivia-bot,2,2,1,4,4,9,0,4,3,0,scope: curriculum,1,,False,165.0511111111111,,True
awesome,sindresorhus,403538,Unknown,3320,Add Mendix,CLOSED,jsp-mx,2025-01-02T04:52:25Z,2025-05-15T12:16:38Z,,False,main,main,1,0,1,1,6,9,0,3,10,0,,0,,False,3199.4036111111113,,True
awesome,sindresorhus,403538,Unknown,2638,Add Maps Data,CLOSED,thedoubler,2023-05-23T17:15:31Z,2024-05-27T22:56:17Z,,False,main,patch-1,1,0,1,1,16,9,0,8,9,0,,0,,False,8885.679444444444,,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62198,feat(curriculum): add Build an All-True Property Validator lab,MERGED,ilenia-magoni,2025-09-13T14:53:34Z,2025-09-25T14:29:14Z,2025-09-25T14:29:14Z,True,main,feat-add-lab-all-true-property-validator,212,0,5,212,2,8,0,9,3,1,status: waiting review|scope: curriculum|platform: learn|scope: i18n|full stack cert,5,APPROVED,False,287.59444444444443,287.59444444444443,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62150,feat (curriculum): add oop quiz,MERGED,Ksound22,2025-09-11T07:55:20Z,2025-09-22T18:35:54Z,2025-09-22T18:35:54Z,True,main,feat/oop-quiz,120,103,1,223,1,8,2,8,6,0,status: waiting review|scope: curriculum|full stack cert,3,APPROVED,False,274.6761111111111,274.6761111111111,True
awesome,sindresorhus,403538,Unknown,3351,Add Standards,MERGED,donBarbos,2025-02-06T14:35:08Z,2025-05-15T13:13:42Z,2025-05-15T13:13:42Z,True,main,main,1,0,1,1,6,8,0,3,10,0,,0,,False,2350.6427777777776,2350.6427777777776,True
awesome,sindresorhus,403538,Unknown,3293,Add Permacomputing,MERGED,idematos,2024-12-02T16:08:58Z,2025-02-28T04:32:36Z,2025-02-28T04:32:36Z,True,main,patch-1,1,0,1,1,7,8,0,1,11,0,,0,,False,2100.393888888889,2100.393888888889,True
awesome,sindresorhus,403538,Unknown,2949,Add Transgender,MERGED,cvyl,2024-01-22T11:37:40Z,2025-07-18T18:37:33Z,2025-07-18T18:37:33Z,True,main,patch-1,1,0,1,1,31,8,0,15,11,0,,0,,False,13038.998055555556,13038.998055555556,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62191,chore(curriculum): updating git and github quiz questions,MERGED,jdwilkin4,2025-09-12T21:35:55Z,2025-09-18T16:20:55Z,2025-09-18T16:20:55Z,True,main,curriculum-git-quiz,94,94,1,188,0,7,1,4,4,1,status: waiting review|scope: curriculum|full stack cert,3,APPROVED,False,138.75,138.75,True
awesome,sindresorhus,403538,Unknown,3335,Add CodeRabbit,MERGED,tyaga001,2025-01-17T06:13:49Z,2025-03-04T08:42:03Z,2025-03-04T08:42:03Z,True,main,patch-1,1,0,1,1,13,7,0,3,6,0,,0,,False,1106.4705555555556,1106.4705555555556,True
awesome,sindresorhus,403538,Unknown,3171,Add Neuroimaging,MERGED,WillForan,2024-08-31T19:57:29Z,2025-05-15T11:44:00Z,2025-05-15T11:44:00Z,True,main,main,1,0,1,1,16,7,0,4,10,0,,0,,False,6159.775277777778,6159.775277777778,True
awesome,sindresorhus,403538,Unknown,3152,Add Event-Driven Architecture,MERGED,lutzh,2024-08-15T16:16:28Z,2024-11-28T19:02:19Z,2024-11-28T19:02:18Z,True,main,main,1,0,1,1,15,7,1,3,5,0,,0,,False,2522.764166666667,2522.7638888888887,True
awesome,sindresorhus,403538,Unknown,3146,Add Email Security,CLOSED,0xAnalyst,2024-08-11T08:01:17Z,2025-05-20T13:30:16Z,,False,main,main,1,0,1,1,18,7,0,2,11,0,,0,,False,6773.483055555555,,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62232,fix(curriculum): make concatenation optional,MERGED,Supravisor,2025-09-15T23:41:57Z,2025-09-22T15:17:40Z,2025-09-22T15:17:40Z,True,main,triviaBot,3,2,1,5,5,6,0,2,3,0,status: waiting review|scope: curriculum|full stack cert,3,APPROVED,False,159.59527777777777,159.59527777777777,True
awesome,sindresorhus,403538,Unknown,3398,Add WebAssembly,MERGED,idematos,2025-04-11T10:05:00Z,2025-07-05T23:21:42Z,2025-07-05T23:21:42Z,True,main,patch-1,1,0,1,1,15,6,0,3,12,0,,0,,False,2053.278333333333,2053.278333333333,True
awesome,sindresorhus,403538,Unknown,3283,Add Semantic Commit,CLOSED,bozaci,2024-11-25T10:59:32Z,2025-05-20T13:41:00Z,,False,main,semantic-commit-branch,1,0,1,1,5,6,0,1,6,0,,0,,False,4226.691111111111,,True
awesome,sindresorhus,403538,Unknown,3081,Add Tor,MERGED,Polycarbohydrate,2024-06-14T06:25:07Z,2024-07-23T12:14:43Z,2024-07-23T12:14:43Z,True,main,main,1,0,1,1,7,6,1,3,5,0,,0,,False,941.8266666666667,941.8266666666667,True
free-programming-books,EbookFoundation,370951,Python,11686,"Added ruby, ruby on rails and rust hindi tutorials in free-courses-hindi.md (request review from urdu speaker)",MERGED,Darpana-iitgn,2024-10-26T10:24:19Z,2024-10-31T14:41:46Z,2024-10-31T14:41:46Z,True,main,main,4,0,1,4,6,6,0,1,4,0,question|waiting for changes,2,CHANGES_REQUESTED,False,124.29083333333334,124.29083333333334,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62282,fix(curriculum): format code blocks in quiz answers,MERGED,JatinMehta007,2025-09-20T12:12:01Z,2025-09-20T17:53:34Z,2025-09-20T17:53:34Z,True,main,fix/quiz-code-blocks,0,8,1,8,1,5,0,7,3,0,scope: curriculum,1,APPROVED,False,5.6925,5.6925,True
freeCodeCamp,freeCodeCamp,429335,TypeScript,62189,feat(curriculum): adding git and github review page,MERGED,jdwilkin4,2025-09-12T20:31:14Z,2025-09-23T07:46:58Z,2025-09-23T07:46:58Z,True,main,curriculum-git-review,218,2,1,220,1,5,0,8,4,1,status: waiting review|scope: curriculum|full stack cert,3,APPROVED,False,251.26222222222222,251.26222222222222,True
awesome,sindresorhus,403538,Unknown,3312,Add Large Language Model,CLOSED,zhiyuan8,2024-12-21T00:31:31Z,2024-12-30T08:56:59Z,,False,main,patch-1,1,0,1,1,4,5,0,1,7,0,,0,,False,224.42444444444445,,True
awesome,sindresorhus,403538,Unknown,3274,Add Sui & Update Move,CLOSED,yanganto,2024-11-16T01:26:40Z,2025-05-21T02:08:20Z,,False,main,move,2,1,1,3,8,5,0,2,5,0,,0,,False,4464.694444444444,,True
awesome,sindresorhus,403538,Unknown,3256,"Add ""FOSS Alternatives""",CLOSED,hardBSDk,2024-11-01T16:22:48Z,2025-01-12T08:57:13Z,,False,main,patch-1,1,0,1,1,7,5,0,2,10,0,,0,,False,1720.5736111111112,,True
awesome,sindresorhus,403538,Unknown,3223,Add ABP Framework of Platforms,CLOSED,tarikozdemir,2024-09-27T19:23:13Z,2025-05-15T11:38:31Z,,False,main,patch-1,1,0,1,1,7,5,0,1,10,0,,0,,False,5512.255,,True
awesome,sindresorhus,403538,Unknown,3210,Add WebGPU,MERGED,ferminLR,2024-09-20T21:37:36Z,2025-05-15T11:49:06Z,2025-05-15T11:49:06Z,True,main,main,1,0,1,1,11,5,0,2,9,0,,0,,False,5678.191666666667,5678.191666666667,True
